path,type,size,mode,uid,gid,mtime,scope,install_class,source,source_reference,sha256,notes
/etc/chroot,file,6356,0700,0,0,469762998,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/chroot,1f874436bc76bf53035c5e2421193228288a6448c3865de1112c56b3eea27d11,mode/uid/gid recovered from parent .contents
/etc/clri,file,4562,4750,3,0,469762967,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/clri,01d4d8e810fcc368a0029337bdb391af4efedd6c08793b527ec7ca7dd2539d1b,mode/uid/gid recovered from parent .contents
/etc/cron,file,6778,0700,3,0,469762968,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/cron,4c1b9ec9a2da0a83a80fa3c2cffa2b9e59d2609a044f0172fe0bddb6cf1fd274,mode/uid/gid recovered from parent .contents
/etc/cshprofile,file,71,0644,3,0,469762991,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/cshprofile,af0d5b234c54e0807a1bc94bec7f387f37d9bfcbf6d6791524a5d39f3a377815,mode/uid/gid recovered from parent .contents
/etc/datem,file,11008,0700,0,0,469762971,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/datem,47d9599fce1d655197b0d1f3afe130765134471995dfc5d6d2a861ee05b26b12,mode/uid/gid recovered from parent .contents
/etc/dcheck,file,5390,4750,3,0,469762969,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/dcheck,bdf99a204038af6269ba02ec11564eb422933aa17d5bc933b4836a8486181692,mode/uid/gid recovered from parent .contents
/etc/ddate,file,88,0600,3,0,664331623,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/ddate,bc6956c9ec623198df5202e499e90f8307f2360f524b3b2d3e3ca7f65993fe00,mode/uid/gid recovered from parent .contents
/etc/devnm,file,5360,0750,3,0,469762997,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/devnm,a95de582ac8a136aec583053450b572c58baa13c41e58f41f1a7aa47bf3228fd,mode/uid/gid recovered from parent .contents
/etc/down,file,749,0700,0,0,469762969,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/down,33fee89ebba95d272f8c11926602549fbc74c84e6f22a92efc4c056d17f3603b,mode/uid/gid recovered from parent .contents
/etc/dqueuer,file,38766,4700,0,0,469762984,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/dqueuer,b88237c5115ff0ece7f742282262d95afeca3628a98cb19829ef92c66ff624ec,mode/uid/gid recovered from parent .contents
/etc/dump,file,14826,0750,3,0,469762970,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/dump,4c3fa8a352db5ab8b5d8b3e03bdc9922d679c4c8667b9024881e8f7b37eb06be,mode/uid/gid recovered from parent .contents
/etc/dumpdir,file,227,4751,3,0,469762970,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/dumpdir,dd0492267f562b1d92f39883efdce2524d7ce65702dc92414be396c67afb9bc3,mode/uid/gid recovered from parent .contents
/etc/fsck,file,22600,4750,3,0,469762991,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/fsck,ab5bae4f35fb28ee1d7824a6c42d518964e00633bd1d29591b84922ffcf6a21e,mode/uid/gid recovered from parent .contents
